sku,url
CB200R,https://mslvideos.s3-us-west-2.amazonaws.com/SILICONE-SNAP-COCKSTRAPandSILICONE-SNAP-BALLSTRETCHER-BONEYARD-CB200G-K-R-Y-CB201G-K-R_720p_2800k.mp4
CB201G,https://mslvideos.s3-us-west-2.amazonaws.com/SILICONE-SNAP-COCKSTRAPandSILICONE-SNAP-BALLSTRETCHER-BONEYARD-CB200G-K-R-Y-CB201G-K-R_720p_2800k.mp4
CB201K,https://mslvideos.s3-us-west-2.amazonaws.com/SILICONE-SNAP-COCKSTRAPandSILICONE-SNAP-BALLSTRETCHER-BONEYARD-CB200G-K-R-Y-CB201G-K-R_720p_2800k.mp4
CB201R,https://mslvideos.s3-us-west-2.amazonaws.com/SILICONE-SNAP-COCKSTRAPandSILICONE-SNAP-BALLSTRETCHER-BONEYARD-CB200G-K-R-Y-CB201G-K-R_720p_2800k.mp4
CB3500,https://mslvideos.s3-us-west-2.amazonaws.com/CB3500_3501_3502_3503_stainless_steel_nutt_tugger_amp_video_ball_stretcher_720p_2800k.mp4
CB3501,https://mslvideos.s3-us-west-2.amazonaws.com/CB3500_3501_3502_3503_stainless_steel_nutt_tugger_amp_video_ball_stretcher_720p_2800k.mp4
CB3502,https://mslvideos.s3-us-west-2.amazonaws.com/CB3500_3501_3502_3503_stainless_steel_nutt_tugger_amp_video_ball_stretcher_720p_2800k.mp4
CB3503,https://mslvideos.s3-us-west-2.amazonaws.com/CB3500_3501_3502_3503_stainless_steel_nutt_tugger_amp_video_ball_stretcher_720p_2800k.mp4
CB354C,https://mslvideos.s3-us-west-2.amazonaws.com/Fleshjack-AUG16-CB355-CB356-CB357-CB358-CB354C-SOCIAL_720p_2800k.mp4
CB355, https://mslvideos.s3-us-west-2.amazonaws.com/CB355-CB356_720p_2800k.mp4
CB355,https://mslvideos.s3-us-west-2.amazonaws.com/Fleshjack-AUG16-CB355-CB356-CB357-CB358-CB354C-SOCIAL_720p_2800k.mp4
CB356, https://mslvideos.s3-us-west-2.amazonaws.com/CB355-CB356_720p_2800k.mp4
CB356,https://mslvideos.s3-us-west-2.amazonaws.com/Fleshjack-AUG16-CB355-CB356-CB357-CB358-CB354C-SOCIAL_720p_2800k.mp4
CB357, https://mslvideos.s3-us-west-2.amazonaws.com/CB357-CB358_720p_2800k.mp4
CB357,https://mslvideos.s3-us-west-2.amazonaws.com/Fleshjack-AUG16-CB355-CB356-CB357-CB358-CB354C-SOCIAL_720p_2800k.mp4
CB358, https://mslvideos.s3-us-west-2.amazonaws.com/CB357-CB358_720p_2800k.mp4
CB358,https://mslvideos.s3-us-west-2.amazonaws.com/CB456-CB358-SebastianKeys-Eric_720p_2800k.mp4
CB358,https://mslvideos.s3-us-west-2.amazonaws.com/Fleshjack-AUG16-CB355-CB356-CB357-CB358-CB354C-SOCIAL_720p_2800k.mp4
